ABI_SFA_SAPID__c,Name,ABI_DTT_AddressFirstLine__c,ABI_SFA_City__c,ABI_SFA_Address__c,ShippingLatitude,ShippingLongitude
29413208,PLAZA DEL SOL,C.C. BELLE RIVE,CHECY,C.C. BELLE RIVE / 45430 CHECY / FR,"47,89186","2,02354"
29413209,LE VENTRE JAUNE,67 PL DE L'EGLISE,MARCILLY EN VILETTE,67 PL DE L&#39;EGLISE / 45240 MARCILLY EN VILETTE / FR,"46,50643","1,08367"
29413210,LES 25,PL LEONLERISSE 1,L ETOILE,PL LEONLERISSE 1 / 26800 L ETOILE / FR,"-6,23297","106,83457"
29413212,AU TOBACCO,AV JEAN JAURES 468,RONCHIN,AV JEAN JAURES 468 / 59790 RONCHIN / FR,"50,60107","3,07984"
29413214,LE STOP BAR,BD FISSON 5,LE LUDE,BD FISSON 5 / 72800 LE LUDE / FR,"47,64019","0,15044"
29537170,LE GREEN,BD GEORGES POMPIDOU 858,BRAY DUNES,BD GEORGES POMPIDOU 858 / 59123 BRAY DUNES / FR,"51,07314","2,52707"
29537183,L'AUBERGE DE LA CHAPELLE,MONTEE DE LA ROUE 64,CHARVIEU CHAVAGNEUX,MONTEE DE LA ROUE 64 / 38230 CHARVIEU CHAVAGNEUX / FR,"45,72824","5,1445"
29537184,150 AVENUE,. AVE DES ALLIES,CAVALAIRE,. AVE DES ALLIES / 83240 CAVALAIRE / FR,,
29537185,SEL ET POIVRE,12 AVENUE FOREST,CHARLEVILLE MEZIERES,12 AVENUE FOREST / 08000 CHARLEVILLE MEZIERES / FR,"49,77498","4,71701"
29537187,LES TOURNAYRES,. . .,CASTELJAU,. . . / 07460 CASTELJAU / FR,"44,37472","4,20128"
29537188,LE VIEUX MOULIN,. .,CASTELJAU,. . / 07460 CASTELJAU / FR,"44,37472","4,20128"
29537189,LE CINEMA D'EMMANUELLE,. RUE HENRY BARBUSSE .,VALLON PONT D'ARC,. RUE HENRY BARBUSSE . / 07150 VALLON PONT D&#39;ARC / FR,"44,40042","4,40491"
29537190,COTE SEINE,QUAI CLEMENCEAU 12,BOUGIVAL,QUAI CLEMENCEAU 12 / 78380 BOUGIVAL / FR,"48,86726","2,14009"
29537191,VIRGINIA,RUE DE L'ARMORIQUE 14,PARIS,RUE DE L&#39;ARMORIQUE 14 / 75015 PARIS / FR,"48,83931","2,31453"
29537192,ACOSTAR BLEU,RUE DU 8 MAIS 1945 184,LE BLANC MESNIL,RUE DU 8 MAIS 1945 184 / 93150 LE BLANC MESNIL / FR,"48,95043","2,44018"
29537193,LA CASCADE,BD DEVAUX 53,POISSY,BD DEVAUX 53 / 78300 POISSY / FR,"48,9235","2,02742"
29537194,COUSCOUS LOUIS BLANC,RUE LOUIS BLANC 20,PARIS,RUE LOUIS BLANC 20 / 75010 PARIS / FR,"48,88034","2,36671"
29537195,BAR TABAC LE CARNOT,PLACE CARNOT 12,MONTLUEL,PLACE CARNOT 12 / 01120 MONTLUEL / FR,"45,89119","5,01973"
29537196,BAR TABAC MADOUCHE,AV JULES GUESDES 122,VENISSIEUX,AV JULES GUESDES 122 / 69200 VENISSIEUX / FR,"45,70881","4,887"
29537198,CAFE DU CENTRE,PLACE AMBROISE SABLE 4,SAINT GENIS DE SAINTONGE,PLACE AMBROISE SABLE 4 / 17240 SAINT GENIS DE SAINTONGE / FR,"45,48151","-0,56906"
29537199,RESTAURANT LA GUIGNARDIERE,GOLF DE LA BEAUCE,VIEVY LE RAYE,GOLF DE LA BEAUCE / 41290 VIEVY LE RAYE / FR,"47,86403","1,318"
